Subject,"networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Lateral (R) (56,-10,29)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (L) (-55,-12,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.SensoriMotor.Superior  (0,-31,67)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Lateral (R) (56,-10,29)-networks.Visual.Lateral (R) (38,-72,13)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Medial (2,-79,12)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Occipital (0,-93,-4)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (L) (-37,-79,10)","networks.SensoriMotor.Superior  (0,-31,67)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Medial (2,-79,12)-networks.Visual.Occipital (0,-93,-4)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Medial (2,-79,12)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (L) (-37,-79,10)","networks.Visual.Occipital (0,-93,-4)-networks.Visual.Lateral (R) (38,-72,13)","networks.Visual.Lateral (L) (-37,-79,10)-networks.Visual.Lateral (R) (38,-72,13)"
1,0.23303586076394,0.182420833826122,0.149747174550936,0.0794572725143828,0.0534177844703951,0.847667876491542,0.369444583991871,-0.557163690766254,-0.338146333134027,-0.481845788134506,-0.361015284439315,0.358974065422431,-0.273450417239234,-0.357385605304949,-0.143062321802795,0.710603402584964,0.808792099733657,0.678552129415133,1.23740686984193,0.844725748664983,0.728807778151762
2,0.434140835986074,0.0097357350133723,-1.05236661443986,-0.666284508521242,-0.612428274079713,-0.241574261122052,0.721187923617894,-0.0675359204084956,-0.393973025652502,0.302198333512489,0.0582686851393071,0.237722258380334,0.055083387088453,0.757094814969303,0.102179198351466,0.939665810167511,1.26284472781763,0.722695714721912,0.742472367053201,0.943098465721976,0.546789650739814
3,2.13207416616491,0.947991620461862,0.904352708121266,1.21421113869479,1.50669684589304,1.26906139903246,0.93883807205926,0.764407675852516,1.11186017322855,1.40110733385683,1.23642477405679,0.812581608307893,0.447342163000378,0.620014291700559,0.881912942392695,0.961152884970885,1.05842314806015,0.701766730800285,1.51181088122582,0.979815100844008,1.26015499534832
4,1.36864636215882,0.420312744718076,-0.347961369104268,-0.306607466745248,0.582674627577415,0.305459080022503,0.605950423939288,-0.834554835785385,-0.879439571703046,0.283641909245585,-0.148671448083124,-0.0759506527997724,-0.804239007413488,0.826654307856033,0.128513418433936,0.999288529957247,0.538017374451584,1.08981516572656,0.0434781177644791,0.719268731912476,1.12689211160018
5,0.366833947107021,0.208605384473392,0.425112715958161,-0.207800776696158,-0.0359883459499133,-0.045163786341058,-0.622509641914186,1.01199964715622,0.651512943042031,0.711961837371824,0.351299769137547,-0.286680716771984,-1.65437160089192,-0.978733716548496,-0.755529360518056,0.236384180647944,0.897128740470788,0.686873218156605,0.691407564205124,0.519423502175115,1.05294537203481
6,-0.140167535609643,-0.672335263481982,0.43135992708711,0.0155481672541221,-0.259795872219552,-0.234682994447012,0.0782122347249283,-0.0162772062201629,-0.253887046440036,-0.240906045148603,-0.199869521737752,-0.0425007478436198,0.584220117815804,1.16472692621739,0.87400519383115,0.822104714099386,0.255902487865279,0.698360557731733,1.25188279089521,1.21936551291944,1.13013839255151
7,1.09014450012268,0.234174597860691,-0.319954719110022,0.154119384031542,-0.298299752357067,-0.614179654540605,-0.0411826650930518,-0.184537013108321,-0.165844182197769,-0.583845359568412,-0.742923132848658,-0.778251922026798,0.0608093189299388,-0.132090781728494,-0.379693162564617,0.661645032255508,0.998929967856986,1.19788802338325,1.25835168895553,0.759318556706706,1.65812300347991
8,1.47255759678971,0.133438416526198,0.779467278237097,-0.136505867282374,0.326563532635712,0.217679733572836,0.110974576707168,0.489514648175936,-0.253871141714966,-0.0520722060351627,-0.049034196698372,0.0730919815091855,1.43584351028688,-0.037763940188733,0.13306215384677,-0.0951684658177627,0.873039855679835,0.997645610826153,0.0113567234480758,0.0707145390886365,0.954592542121112
9,1.83017678511228,0.154787355324082,0.353094013386447,0.462526327538078,0.0479996970265063,0.136684439678526,-0.0804178841759925,0.501968630369607,0.525184942399856,0.19339837352586,0.316062513203079,0.0101192639454014,-0.145764417741599,0.00475973634136371,-0.0733536079774633,1.0761460003826,1.56661377139169,1.35502426429677,0.628822483387269,0.510934845818503,1.7598368568239
10,0.424193819263244,0.388418831744649,0.274709062438148,0.819525764305216,0.211557902057783,-0.245174038732752,0.526303806787372,-0.0611558143219248,1.32847774270692,-0.541425754848367,-0.950614899788674,-0.43004565693344,0.278294199260586,-0.415797735794913,-0.48511210026413,0.286252203587139,0.313561614831395,0.198267426447714,-0.0835407580762746,-0.495463748752748,1.32367288468292
11,0.87253186141276,0.219094864855616,0.237238498664578,0.103121983151518,-0.0289755067222296,0.373474937441481,0.583725046464081,0.290013281791648,-0.637889797100849,-0.668342557039817,0.155307769261089,-0.0368021038082903,-0.610538949061664,-0.642179006724509,-0.328999928469941,-0.246310237930263,0.316956655152916,1.15287711661617,0.947163474471568,0.249435803671907,0.630455745958369
12,0.490020453249666,0.61950122976526,-0.264400898937848,0.318360638315612,0.148925926175722,-0.272788613926371,0.332036172651206,0.316017952217032,0.349108841620015,-0.343819260545396,0.0359918009334532,0.436300791200427,0.85747167966793,-0.0611421366662396,-0.112311594575551,0.970111217857069,-0.335946532415545,0.242657327938114,-0.289370883686753,-0.000914478947996111,0.633514921144893
13,1.31679801481494,2.59639260860861,1.4417978363912,0.13073736295318,1.19568110963433,0.986050838183489,1.4064264705856,1.28795488103407,-0.0494683134567837,1.78471407978999,0.608777313804619,1.45355657883467,0.0182296325740363,1.36254313762343,1.02342452191777,0.120338050352907,1.56936426488717,1.26412951075078,-0.0719895326298644,0.166109577643456,0.913925224395259
14,0.85805175965004,-0.276626567817005,-0.229961295792546,0.91247470195069,0.628863185983022,-0.230643833375933,-0.150343955638558,-1.20457921846852,0.901220416133878,0.131032601016924,-1.14342402669822,-0.075448984839289,0.161391133722569,-0.636078207499451,0.0456957044558018,-0.441650884863252,0.219311383308728,1.40058468930612,-0.150320256425906,-0.667760160895738,0.407617875882488
15,1.0342582387695,0.885812175609651,-0.675523022521676,0.0565367349446118,-0.511583673773204,-0.750708180396215,0.848791099969309,-0.642654831212167,0.0755096305310006,-0.367150271613724,-0.790891915814887,-0.899876027826144,0.0269217812361552,-0.29463363964464,-0.496821583774748,0.276693360855841,0.889596006773326,0.955162934670467,0.753865266700718,0.675851762701542,1.55305606344613
16,-0.156356177231366,0.435708432443785,0.648068793920426,0.233175822414297,0.476586442683235,0.0390840838267019,-0.413387785479106,0.311202370509968,0.0919566507112012,-0.954951920248285,-0.911121332245327,-0.0209237249527183,-0.623190543043751,0.751613666119002,0.128653466520213,0.590700254992982,0.157976482694161,-0.0505929073819793,-0.0829873520957504,0.0828622291084837,1.05563583888406
17,0.544835287723602,0.830604283792469,0.891482296347455,0.564113545074555,1.30470459682277,0.921632241086856,0.859893189183948,1.10781449417838,-0.301622741769598,0.241564023852618,0.238352448743325,0.82062673330345,-0.0954789609589173,0.357785358537908,0.141342275549595,0.282555300791918,0.762932608442471,0.740875157440124,1.12236406059087,1.07795417602986,1.83670325223396
18,0.978815812396844,0.0429207064020245,0.156305711032014,-0.279200366067065,0.118847429052856,-0.0763375549407793,0.371405961453681,0.538022625138989,-0.0483384360527531,0.516967841975503,0.347526240816193,1.22276809760694,1.05764010279875,1.00442568329168,1.09415139580352,0.981709676721559,1.86102881960954,1.85414548900288,1.06404914239958,1.15890657132551,1.88481610170238
